user_id,age,gender,location,device,network,clicks,session_duration,feature_version,feedback_score,retention_flag,data_used_mb
0,39,M,Mzuzu,Android,TNM,6,404,A,,1,70.21030569613053
1,32,M,Mwanza,Android,Airtel,0,138,B,4.0,0,62.06882450076263
2,61,M,Karonga,Android,TNM,4,227,A,4.0,1,87.04556369017875
3,62,M,Mwanza,Android,Airtel,7,250,A,4.0,0,43.977926088214225
4,52,F,Mzuzu,Android,Airtel,4,425,A,5.0,1,67.75496919186715
5,22,F,Lilongwe,Android,Airtel,7,410,B,4.0,0,37.09760490789751
6,30,M,Zomba,Android,Airtel,4,326,B,5.0,1,39.63459563452705
7,30,F,Nsanje,Android,Airtel,5,237,A,3.0,0,20.72970103735763
8,49,F,Kasungu,Android,Airtel,7,258,A,,0,99.26484224970572
9,33,M,Mangochi,Android,TNM,5,232,A,4.0,0,68.46325216683906
10,43,F,Mwanza,Android,Airtel,4,238,B,,1,61.122435970679305
11,63,F,Rumphi,Android,TNM,8,283,A,4.0,0,46.70999131676191
12,38,M,Blantyre,Android,Airtel,8,447,A,4.0,1,45.20810983612381
13,48,F,Chikhwawa,Android,Airtel,4,250,A,5.0,1,64.80681635895478
14,57,F,Ntcheu,Android,Airtel,5,306,A,5.0,1,51.027217189592704
15,59,F,Ntcheu,Android,Airtel,8,232,B,5.0,0,51.63748278772645
16,33,F,Nsanje,Android,Airtel,1,358,B,3.0,1,62.67838044636022
17,42,F,Mwanza,Android,MTL,4,233,B,4.0,1,36.93341534852576
18,38,M,Mwanza,Android,Airtel,2,244,A,4.0,1,87.44011360944609
19,41,F,Nsanje,Android,Airtel,4,246,B,5.0,1,51.21793214234321
20,46,F,Salima,Android,TNM,4,181,A,2.0,1,72.33786880403358
21,29,M,Kasungu,Android,TNM,7,223,A,5.0,1,73.2387463549355
22,36,M,Nsanje,Android,Airtel,2,271,B,4.0,0,47.397138912646305
23,35,F,Dedza,Android,TNM,3,154,B,5.0,1,83.5058649933644
24,23,F,Zomba,Android,Airtel,6,264,B,3.0,1,66.52380947308532
25,55,M,Lilongwe,Android,MTL,10,323,B,3.0,0,49.0950075252136
26,20,F,Lilongwe,Android,Airtel,4,333,B,5.0,1,30.657778907980667
27,37,F,Lilongwe,Android,Airtel,6,408,A,5.0,1,87.52341678431773
28,38,F,Dedza,Android,TNM,4,272,B,2.0,0,49.72444089465616
29,55,F,Kasungu,Android,TNM,0,272,B,3.0,0,88.23059213018857
30,29,F,Mzuzu,iOS,Airtel,6,133,B,4.0,1,44.63473876100974
31,34,F,Liwonde,Android,TNM,8,297,A,3.0,1,47.92847800196753
32,49,M,Mzuzu,Android,Airtel,3,163,A,1.0,0,59.75346549846587
33,31,M,Blantyre,Android,Airtel,2,280,A,4.0,1,46.16934352173414
34,39,M,Balaka,Android,Airtel,0,264,B,2.0,0,50.71270919700912
35,56,M,Liwonde,Android,Airtel,4,270,A,5.0,1,40.224603530889354
36,62,M,Blantyre,iOS,Airtel,8,320,A,3.0,1,22.344005380713277
37,23,F,Balaka,Android,TNM,3,294,B,4.0,1,52.90408120570916
38,60,F,Mulanje,Android,Airtel,7,292,B,4.0,0,50.215963296194
39,52,M,Mangochi,Android,TNM,1,252,B,2.0,1,29.52362961021891
40,28,F,Salima,Android,Airtel,0,181,A,5.0,1,55.08841686602426
41,50,M,Ntcheu,Android,Airtel,5,256,A,4.0,1,83.52874624550566
42,27,M,Kasungu,Android,Airtel,8,287,B,2.0,1,31.816847658297515
43,57,F,Liwonde,Android,Airtel,5,205,B,3.0,1,39.741712500571694
44,46,M,Nkhotakota,Android,TNM,5,268,A,3.0,0,27.204911436865878
45,42,F,Mzuzu,Android,Airtel,8,418,A,5.0,1,76.37677242181542
46,39,M,Dedza,Android,Airtel,3,305,B,4.0,1,36.03567943369295
47,62,M,Ntcheu,Android,TNM,4,228,A,4.0,1,72.57777486093815
48,63,F,Chitipa,Android,MTL,4,216,B,5.0,1,68.43269436707695
49,49,F,Thyolo,Android,Airtel,5,297,B,3.0,1,62.46798877832703
50,19,F,Rumphi,Android,Airtel,0,271,B,3.0,0,24.97772847229394
51,34,M,Ntcheu,Android,TNM,5,269,A,2.0,1,50.77103030701784
52,51,F,Mangochi,Android,TNM,0,150,A,1.0,0,30.43254444769936
53,53,F,Chitipa,Android,TNM,7,280,A,5.0,1,35.48512373693069
54,60,M,Mulanje,Android,Airtel,5,267,A,4.0,1,54.65352715827589
55,29,F,Balaka,Android,TNM,6,252,B,4.0,1,62.41344195101356
